"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1555,1.805186,1555,0.003882,313.71479565879304,,,
1560,1.804921,1560,0.00392,315.7703385146664,,,
1565,1.804656,1565,0.003958,317.81274691139686,,,
1570,1.804392,1570,0.003996,319.8421463374475,,,
1575,1.804127,1575,0.004034,321.8586606877772,,,
1580,1.803863,1580,0.004073,323.94194628028424,,,
1585,1.803599,1585,0.004112,326.01208811510986,,,
1590,1.803336,1590,0.004151,328.0692101899681,,,
1595,1.803072,1595,0.00419,330.1134349477425,,,
1600,1.802809,1600,0.00423,332.2234231171207,,,
1605,1.802545,1605,0.00427,334.3202649427643,,,
1610,1.802282,1610,0.00431,336.40408290613686,,,
1615,1.80202,1615,0.00435,338.4749979719034,,,
1620,1.801757,1620,0.004391,340.6106998003156,,,
1625,1.801494,1625,0.004432,342.73325884824527,,,
1630,1.801232,1630,0.004473,344.84279606152506,,,
1635,1.80097,1635,0.004514,346.93943090652783,,,
1640,1.800707,1640,0.004556,349.0999056037829,,,
1645,1.800445,1645,0.004598,351.24724671625216,,,
1650,1.800183,1650,0.00464,353.381573640161,,,
1655,1.799921,1655,0.004683,355.5789340606889,,,
1660,1.799659,1660,0.004725,357.68735634245235,,,
1665,1.799398,1665,0.004768,359.8585891247119,,,
1670,1.799136,1670,0.004811,362.01682051306574,,,
1675,1.798874,1675,0.004855,364.2371900460524,,,
1680,1.798613,1680,0.004899,366.4443430937237,,,
1685,1.798351,1685,0.004943,368.6383973102516,,,
1690,1.798089,1690,0.004987,370.81946895745085,,,
1695,1.797828,1695,0.005031,372.98767292531556,,,
1700,1.797566,1700,0.005076,375.21704257933624,,,
1705,1.797305,1705,0.005121,377.43333675151507,,,
1710,1.797044,1710,0.005166,379.6366701390614,,,
1715,1.796782,1715,0.005212,381.9004293996502,,,
1720,1.796521,1720,0.005258,384.1510272691891,,,
1725,1.796259,1725,0.005304,386.3885781945568,,,
1730,1.795998,1730,0.00535,388.6131952995466,,,
1735,1.795736,1735,0.005397,390.89741905300554,,,
1740,1.795475,1740,0.005444,393.16851508374333,,,
1745,1.795213,1745,0.005491,395.42659623751416,,,
1750,1.794952,1750,0.005538,397.6717740704063,,,
1755,1.79469,1755,0.005586,399.97576211857745,,,
1760,1.794428,1760,0.005634,402.26665932556585,,,
1765,1.794166,1765,0.005682,404.5445769449792,,,
1770,1.793904,1770,0.005731,406.88062141747133,,,
1775,1.793642,1775,0.005779,409.1327086218685,,,
1780,1.793381,1780,0.005828,411.44274123868126,,,
1785,1.793119,1785,0.005878,413.8102323316707,,,
1790,1.792856,1790,0.005927,416.094294029647,,,
1795,1.792594,1795,0.005977,418.43563878565334,,,
1800,1.792332,1800,0.006027,420.763976070793,,,
1805,1.792069,1805,0.006078,423.14903376218865,,,
1810,1.791807,1810,0.006129,425.5209143392672,,,
1815,1.791544,1815,0.00618,427.8797267037999,,,
1820,1.791282,1820,0.006231,430.22557856083523,,,
1825,1.791019,1825,0.006282,432.5585764350922,,,
